
overseersSpawnChance: 0.5
overseersColorOverride(0.7, 0.6, 1): 0.8
overseersMin: 0
overseersMax: 8
playerGuideOverseerSpawnChance: 0.5
guideColor: 0.7, 0.6, 1
pupSpawnChance: 0.3
corruptionEffectColor: 0.2,0.4,0.6
corruptionEyeColor: 0.2,0.4,0.6
Room Setting Templates: outside, inside, summit, rot, mines
Subregion: Cliffside
Room_Attr: LI_CAVE: PinkLizard-Forbidden,WhiteLizard-Forbidden,BlackLizard-Forbidden,CyanLizard-Forbidden,CicadaA-Forbidden,CicadaB-Forbidden,Scavenger-Forbidden,Vulture-Forbidden,Centiwing-Forbidden,BigSpider-Forbidden,SpitterSpider-Forbidden,DropBug-Forbidden,SmallNeedleWorm-Forbidden,BigNeedleWorm-Forbidden,MirosVulture-Forbidden,ZoopLizard-Forbidden,ScavengerElite-Forbidden,
Room_Attr: LI_B18: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_TRAIN5: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_F02: DaddyLongLegs-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_A07: CyanLizard-Like,MirosVulture-Forbidden,
Room_Attr: LI_B03: Scavenger-Avoid,Vulture-Forbidden,DaddyLongLegs-Avoid,MirosVulture-Forbidden,
Room_Attr: LI_EDGE: Scavenger-Forbidden,DaddyLongLegs-Stay,MirosVulture-Forbidden,
Room_Attr: LI_A20: DaddyLongLegs-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_B19: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_A21: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_A23: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_A24: Vulture-Avoid,MirosVulture-Forbidden,
Room_Attr: LI_G02: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_B21: Vulture-Avoid,MirosVulture-Forbidden,
Room_Attr: LI_BIGSHAFT2: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_H01: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_B22: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_F05: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_C15: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_B24: Scavenger-Like,Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_B23: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_E03: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_A22: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_H02: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_C16: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_B20: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_C17: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_S14: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_A26: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_A27: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_C18: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_C19: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_D11: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_D13: Vulture-Forbidden,MirosVulture-Forbidden,
Room_Attr: LI_B25: Vulture-Forbidden,MirosVulture-Forbidden,
